text,text_clean,label
Actually I decided I was too hungry so I haven't left yet :V,actually i decided i was too hungry so i haven t left yet v,0
"This is one of the days you have a billion classes, right?",this is one of the days you have a billion classes right,0
Ok lor then we go tog lor...,ok lor then we go tog lor,0
"I can probably come by, everybody's done around  &lt;#&gt;  right?",i can probably come by everybody s done around lt gt right,0
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,[num] days to euro [num] kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to [num],1
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff [num] moro and that includes all my time sheets and that sorry,0
What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,what i m saying is if you haven t explicitly told nora i know someone i m probably just not gonna bother,0
Sent me de webadres for geting salary slip,sent me de webadres for geting salary slip,0
I'll probably be by tomorrow (or even later tonight if something's going on),i ll probably be by tomorrow or even later tonight if something s going on,0
Jay says that you're a double-faggot,jay says that you re a double faggot,0
YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,yes the only place in town to meet exciting adult singles is now in the uk txt chat to [num] now [num] p msg,1
No need to buy lunch for me.. I eat maggi mee..,no need to buy lunch for me i eat maggi mee,0
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,send this to ur friends and receive something about ur voice how is my speaking expression [num] childish [num] naughty [num] sentiment [num] rowdy [num] ful of attitude [num] romantic [num] shy [num] attractive [num] funny lt gt irritating lt gt lovable reply me,0
Dont put your phone on silent mode ok,dont put your phone on silent mode ok,0
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,do u konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight amp have a nice sleep sweet dreams,0
Long beach lor. Expected... U having dinner now?,long beach lor expected u having dinner now,0
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,splashmobile choose from [num] s of gr [num] tones each wk this is a subscrition service with weekly tones costing [num] p u have one credit kick back and enjoy,1
Is fujitsu s series lifebook good?,is fujitsu s series lifebook good,0
"Haha good to hear, I'm officially paid and on the market for an 8th",haha good to hear i m officially paid and on the market for an [num] th,0
Wat u doing there?,wat u doing there,0
You getting back any time soon?,you getting back any time soon,0
"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",[num] free tarot texts find out about your love life now try [num] for free text chance to [num] [num] only after [num] free msgs [num] [num] each,1
I am going to sao mu today. Will be done only at 12 ,i am going to sao mu today will be done only at [num],0
"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,finally it has happened aftr decades beer is now cheaper than petrol the goverment expects us to drink but don t drive,0
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",no shit but i wasn t that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didn t let him fuck me,0
Wat uniform? In where get?,wat uniform in where get,0
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,well i wasn t available as i washob nobbing with last night so they had to ask nickey platt instead of me,0
